Name,aphia,scientificname,proposedaphia,comment
"Globigerinoides sacculifer, δ18O",113445,Globigerinoides sacculifer,NA,NA
Globorotalia anfracta,113447,Globorotalia anfracta,NA,NA
Globorotalia cf. hirsuta,113448,Globorotalia hirsuta,NA,NA
Globorotalia hirsuta,113448,Globorotalia hirsuta,NA,NA
Globorotalia hirsuta dextral,113448,Globorotalia hirsuta,NA,NA
Globorotalia hirsuta sinistral,113448,Globorotalia hirsuta,NA,NA
"Globorotalia hirsuta, shell, weight",113448,Globorotalia hirsuta,NA,NA
"Globorotalia hirsuta, shell, weight, standard deviation",113448,Globorotalia hirsuta,NA,NA
"Globorotalia hirsuta, size average",113448,Globorotalia hirsuta,NA,NA
"Globorotalia hirsuta, size standard deviation",113448,Globorotalia hirsuta,NA,NA
"Accumulation rate, Globorotalia inflata",113449,Globorotalia inflata,NA,NA
Globorotalia inflata,113449,Globorotalia inflata,NA,NA
"Globorotalia inflata, landmark coordinates",113449,Globorotalia inflata,NA,NA
"Globorotalia inflata, Magnesium/Calcium ratio",113449,Globorotalia inflata,NA,NA
"Globorotalia inflata, major axis length",113449,Globorotalia inflata,NA,NA
"Globorotalia inflata, shell, weight",113449,Globorotalia inflata,NA,NA
"Globorotalia inflata, shell, weight, standard deviation",113449,Globorotalia inflata,NA,NA
"Globorotalia inflata, size average",113449,Globorotalia inflata,NA,NA
"Globorotalia inflata, size standard deviation",113449,Globorotalia inflata,NA,NA
"Globorotalia inflata, δ13C",113449,Globorotalia inflata,NA,NA
"Globorotalia inflata, δ18O",113449,Globorotalia inflata,NA,NA
Globorotalia menardii,113450,Globorotalia menardii,NA,NA
Globorotalia menardii dextral,113450,Globorotalia menardii,NA,NA
Globorotalia menardii sinistral,113450,Globorotalia menardii,NA,NA
"Globorotalia menardii, Magnesium/Calcium ratio",113450,Globorotalia menardii,NA,NA
"Globorotalia menardii, δ18O",113450,Globorotalia menardii,NA,NA
Globorotalia cf. scitula,113452,Globorotalia scitula,NA,NA
Globorotalia scitula,113452,Globorotalia scitula,NA,NA
Globorotalia scitula group,113452,Globorotalia scitula,NA,NA
"Globorotalia scitula, shell, weight",113452,Globorotalia scitula,NA,NA
"Globorotalia scitula, shell, weight, standard deviation",113452,Globorotalia scitula,NA,NA
Globorotalia cf. truncatulinoides,113453,Globorotalia truncatulinoides,NA,NA
Globorotalia truncatulinoides,113453,Globorotalia truncatulinoides,NA,NA
Globorotalia truncatulinoides dextral,113453,Globorotalia truncatulinoides,NA,NA
Globorotalia truncatulinoides sinistral,113453,Globorotalia truncatulinoides,NA,NA
"Globorotalia truncatulinoides, shell, weight",113453,Globorotalia truncatulinoides,NA,NA
"Globorotalia truncatulinoides, shell, weight, standard deviation",113453,Globorotalia truncatulinoides,NA,NA
"Globorotalia truncatulinoides, δ13C",113453,Globorotalia truncatulinoides,NA,NA
"Globorotalia truncatulinoides, δ18O",113453,Globorotalia truncatulinoides,NA,NA
Globoturborotalita aff. rubescens,113454,Globoturborotalita rubescens,NA,NA
Globoturborotalita rubescens,113454,Globoturborotalita rubescens,NA,NA
Globoturborotalita tenella,113455,Globoturborotalita tenella,NA,NA
Neogloboquadrina cf. pachyderma,113458,Neogloboquadrina pachyderma,NA,NA
Neogloboquadrina pachyderma,113458,Neogloboquadrina pachyderma,NA,NA
Neogloboquadrina pachyderma sinistral,113458,Neogloboquadrina pachyderma,NA,NA
"Neogloboquadrina pachyderma, area",113458,Neogloboquadrina pachyderma,NA,NA
"Neogloboquadrina pachyderma, box ratio",113458,Neogloboquadrina pachyderma,NA,NA
"Neogloboquadrina pachyderma, circularity ratio",113458,Neogloboquadrina pachyderma,NA,NA
"Neogloboquadrina pachyderma, compactness coefficient",113458,Neogloboquadrina pachyderma,NA,NA
"Neogloboquadrina pachyderma, elongation ratio",113458,Neogloboquadrina pachyderma,NA,NA
"Neogloboquadrina pachyderma, Magnesium/Calcium ratio",113458,Neogloboquadrina pachyderma,NA,NA
"Neogloboquadrina pachyderma, maximum diameter",113458,Neogloboquadrina pachyderma,NA,NA
"Neogloboquadrina pachyderma, mean diameter",113458,Neogloboquadrina pachyderma,NA,NA
"Neogloboquadrina pachyderma, minimum diameter",113458,Neogloboquadrina pachyderma,NA,NA
"Neogloboquadrina pachyderma, number of shells",113458,Neogloboquadrina pachyderma,NA,NA
"Neogloboquadrina pachyderma, perimeter",113458,Neogloboquadrina pachyderma,NA,NA
"Neogloboquadrina pachyderma, roundness",113458,Neogloboquadrina pachyderma,NA,NA
"Neogloboquadrina pachyderma, weight",113458,Neogloboquadrina pachyderma,NA,NA
"Neogloboquadrina pachyderma, weight, standard deviation",113458,Neogloboquadrina pachyderma,NA,NA
"Neogloboquadrina pachyderma, weight/size ratio",113458,Neogloboquadrina pachyderma,NA,NA
"Neogloboquadrina pachyderma, δ13C",113458,Neogloboquadrina pachyderma,NA,NA
"Neogloboquadrina pachyderma, δ18O",113458,Neogloboquadrina pachyderma,NA,NA
Orbulina universa,113460,Orbulina universa,NA,NA
"Orbulina universa, shell weight",113460,Orbulina universa,NA,NA
"Orbulina universa, shell weight, standard deviation",113460,Orbulina universa,NA,NA
Turborotalita humilis,113461,Turborotalita humilis,NA,NA
"Turborotalita humilis, shell, weight",113461,Turborotalita humilis,NA,NA
"Turborotalita humilis, shell, weight, standard deviation",113461,Turborotalita humilis,NA,NA
"Accumulation rate, Turborotalita quinqueloba",113462,Turborotalita quinqueloba,NA,NA
Turborotalita aff. quinqueloba,113462,Turborotalita quinqueloba,NA,NA
Turborotalita quinqueloba,113462,Turborotalita quinqueloba,NA,NA
"Turborotalita quinqueloba, shell, weight",113462,Turborotalita quinqueloba,NA,NA
"Turborotalita quinqueloba, shell, weight, standard deviation",113462,Turborotalita quinqueloba,NA,NA
"Turborotalita quinqueloba, size average",113462,Turborotalita quinqueloba,NA,NA
"Turborotalita quinqueloba, size standard deviation",113462,Turborotalita quinqueloba,NA,NA
"Turborotalita quinqueloba, δ13C",113462,Turborotalita quinqueloba,NA,NA
"Turborotalita quinqueloba, δ18O",113462,Turborotalita quinqueloba,NA,NA
Dentagloborotalia anfracta,113463,Dentagloborotalia anfracta,NA,NA
"Accumulation rate, Globigerinita glutinata",113464,Globigerinita glutinata,NA,NA
Globigerinita cf. glutinata,113464,Globigerinita glutinata,NA,NA
Globigerinita glutinata,113464,Globigerinita glutinata,NA,NA
"Globigerinita glutinata, juvenile",113464,Globigerinita glutinata,NA,NA
"Globigerinita glutinata, shell, weight",113464,Globigerinita glutinata,NA,NA
"Globigerinita glutinata, shell, weight, standard deviation",113464,Globigerinita glutinata,NA,NA
"Globigerinita glutinata, size average",113464,Globigerinita glutinata,NA,NA
"Globigerinita glutinata, size standard deviation",113464,Globigerinita glutinata,NA,NA
"Globigerinita glutinata, δ13C",113464,Globigerinita glutinata,NA,NA
"Globigerinita glutinata, δ18O",113464,Globigerinita glutinata,NA,NA
Globigerinita cf. uvula,113465,Globigerinita uvula,NA,NA
Globigerinita uvula,113465,Globigerinita uvula,NA,NA
Neogloboquadrina cf. dutertrei,113473,Neogloboquadrina dutertrei,NA,NA
Neogloboquadrina dutertrei,113473,Neogloboquadrina dutertrei,NA,NA
"Neogloboquadrina dutertrei, Barium/Calcium ratio",113473,Neogloboquadrina dutertrei,NA,NA
"Neogloboquadrina dutertrei, chamber number",113473,Neogloboquadrina dutertrei,NA,NA
"Neogloboquadrina dutertrei, Magnesium/Calcium ratio",113473,Neogloboquadrina dutertrei,NA,NA
"Neogloboquadrina dutertrei, shell, weight",113473,Neogloboquadrina dutertrei,NA,NA
"Neogloboquadrina dutertrei, shell, weight, standard deviation",113473,Neogloboquadrina dutertrei,NA,NA
"Neogloboquadrina dutertrei, Strontium/Calcium ratio",113473,Neogloboquadrina dutertrei,NA,NA
"Neogloboquadrina dutertrei, δ13C",113473,Neogloboquadrina dutertrei,NA,NA
"Neogloboquadrina dutertrei, δ18O",113473,Neogloboquadrina dutertrei,NA,NA
Neogloboquadrina incompta,113474,Neogloboquadrina incompta,NA,NA
"Neogloboquadrina incompta, shell, weight",113474,Neogloboquadrina incompta,NA,NA
"Neogloboquadrina incompta, shell, weight, standard deviaton",113474,Neogloboquadrina incompta,NA,NA
"Neogloboquadrina incompta, size average",113474,Neogloboquadrina incompta,NA,NA
"Neogloboquadrina incompta, size standard deviation",113474,Neogloboquadrina incompta,NA,NA
Hastigerina aequilateralis,113476,Hastigerina aequilateralis,NA,NA
Hastigerina pelagica,113477,Hastigerina pelagica,NA,NA
"Hastigerina pelagica, shell, weight",113477,Hastigerina pelagica,NA,NA
"Hastigerina pelagica, shell, weight, standard deviation",113477,Hastigerina pelagica,NA,NA
Rupertina stabilis,113481,Rupertina stabilis,NA,NA
Lagena acuticosta,113483,Lagena acuticosta,NA,NA
Lagena apiopleura,113485,Lagena apiopleura,NA,NA
Lagena gracilis,113491,Lagena gracilis,NA,NA
Lagena hexagona,113493,Lagena hexagona,NA,NA
Lagena hispida,113495,Lagena hispida,NA,NA
Lagena hispidula,113496,Lagena hispidula,NA,NA
Lagena laevis,113497,Lagena laevis,NA,NA
Lagena lagenoides,113498,Lagena lagenoides,NA,NA
Lagena nebulosa,113500,Lagena nebulosa,NA,NA
Lagena perlucida,113503,Lagena perlucida,NA,NA
Lagena semistriata,113504,Lagena semistriata,NA,NA
Lagena cf. striata,113507,Lagena striata,NA,NA
Lagena striata,113507,Lagena striata,NA,NA
Lagena sulcata,113509,Lagena sulcata,NA,NA
Stomatorbina concentrica,113510,Stomatorbina concentrica,NA,NA
Dentalina cf. advena,113512,Dentalina advena,NA,NA
Dentalina baggi,113513,Dentalina baggi,NA,NA
Dentalina communis,113514,Dentalina communis,NA,NA
Dentalina consobrina,113515,Dentalina consobrina,NA,NA
Dentalina filiformis,113516,Dentalina filiformis,NA,NA
Dentalina frobisherensis,113518,Dentalina frobisherensis,NA,NA
Dentalina inflexa,113520,Dentalina inflexa,NA,NA
Dentalina leguminiformis,113522,Dentalina leguminiformis,NA,NA
Dentalina pauperata,113523,Dentalina pauperata,NA,NA
Dentalina subsoluta,113524,Dentalina subsoluta,NA,NA
Laevidentalina filiformis,113527,Laevidentalina filiformis,NA,NA
Marginulina glabra,113533,Marginulina glabra,NA,NA
Nodosaria vertebralis,113545,NA,NA,NA
Astrononion echolsi,113549,Astrononion echolsi,NA,NA
Astrononion gallowayi,113550,Astrononion gallowayi,NA,NA
Chilostomella oolina,113553,Chilostomella oolina,NA,NA
Chilostomella cf. ovoidea,113554,Chilostomella ovoidea,NA,NA
Chilostomella ovoidea,113554,Chilostomella ovoidea,NA,NA
Melonis barleeanus,113563,Melonis barleeanus,NA,NA
Melonis pompilioides,113564,Melonis pompilioides,NA,NA
Nonion asterizans,113582,Nonion asterizans,NA,NA
Nonion commune,113585,Nonion commune,NA,NA
Nonion labradoricum,113590,Nonion labradoricum,NA,NA
Nonion pompilioides,113595,Nonion pompilioides,NA,NA
Nonionella auricula,113598,Nonionella auricula,NA,NA
Nonionella digitata,113600,Nonionella digitata,NA,NA
Nonionella cf. iridea,113602,Nonionella iridea,NA,NA
Nonionella iridea,113602,Nonionella iridea,NA,NA
Nonionella stella,113604,Nonionella stella,NA,NA
Nonionella turgida,113605,Nonionella turgida,NA,NA
Nonionellina labradorica,113606,Nonionellina labradorica,NA,NA
Neorotalia calcar,113625,Neorotalia calcar,NA,NA
Patellina corrugata,113626,Patellina corrugata,NA,NA
Planorbulina mediterranensis,113634,Planorbulina mediterranensis,NA,NA
Hyalinea balthica,113636,Hyalinea balthica,NA,NA
Pleurostomella alternans,113652,Pleurostomella alternans,NA,NA
Pleurostomella brevis,113653,Pleurostomella brevis,NA,NA
Guttulina communis,113662,Guttulina communis,NA,NA
Guttulina problema,113668,Guttulina problema,NA,NA
Robertina arctica,113687,Robertina arctica,NA,NA
Robertinoides bradyi,113691,Robertinoides bradyi,NA,NA
Robertinoides normani,113693,Robertinoides normani,NA,NA
Robertinoides suecicum,113695,Robertinoides suecicum,NA,NA
Siphonina reticulata,113731,Siphonina reticulata,NA,NA
Spirillina perforata,113736,Spirillina perforata,NA,NA
Spirillina vivipara,113737,Spirillina vivipara,NA,NA
Buliminella elegantissima,113747,Buliminella elegantissima,NA,NA
Angulogerina angulosa,113749,Angulogerina angulosa,NA,NA
Angulogerina carinata,113750,Angulogerina carinata,NA,NA
Angulogerina fornasinii,113751,Angulogerina fornasinii,NA,NA
Trifarina angulosa,113756,Trifarina angulosa,NA,NA
Trifarina bradyi,113757,Trifarina bradyi,NA,NA
Trifarina carinata,113758,Trifarina carinata,NA,NA
Trifarina fluens,113759,Trifarina fluens,NA,NA
Trifarina pauperata,113761,Trifarina pauperata,NA,NA
Uvigerina auberiana,113763,Uvigerina auberiana,NA,NA
Uvigerina hispida,113770,Uvigerina hispida,NA,NA
Uvigerina hollicki,113771,Uvigerina hollicki,NA,NA
Uvigerina mediterranea,113772,Uvigerina mediterranea,NA,NA
Uvigerina peregrina,113773,Uvigerina peregrina,NA,NA
"Uvigerina peregrina, δ18O",113773,Uvigerina peregrina,NA,NA
Uvigerina proboscidea,113775,Uvigerina proboscidea,NA,NA
Uvigerina pygmaea,113776,Uvigerina pygmaea,NA,NA
Amphicoryna scalaris,113780,Amphicoryna scalaris,NA,NA
Lenticulina calcar,113784,Lenticulina calcar,NA,NA
Lenticulina gibba,113788,Lenticulina gibba,NA,NA
Lenticulina orbicularis,113790,Lenticulina orbicularis,NA,NA
Ammodiscus catinus,113816,Ammodiscus catinus,NA,NA
Ammodiscus flavidus,113817,Ammodiscus flavidus,NA,NA
Ammodiscus cf. incertus,113819,Ammodiscus incertus,NA,NA
Ammodiscus incertus,113819,Ammodiscus incertus,NA,NA
Ammodiscus intermedius,113820,Ammodiscus intermedius,NA,NA
Ammodiscus planorbis,113822,Ammodiscus planorbis,NA,NA
Ammodiscus planus,113823,Ammodiscus planus,NA,NA
Ammodiscus tenuis,113826,Ammodiscus tenuis,NA,NA
Ammolagena clavata,113827,Ammolagena clavata,NA,NA
Glomospira charoides,113828,Glomospira charoides,NA,NA
Glomospira glomerata,113829,Glomospira glomerata,NA,NA
Glomospira gordialis,113830,Glomospira gordialis,NA,NA
Repmanina charoides,113831,Repmanina charoides,NA,NA
Tolypammina vagans,113834,Tolypammina vagans,NA,NA
Adercotryma glomerata,113837,Adercotryma glomerata,NA,NA
Astrorhiza angulosa,113839,Astrorhiza angulosa,NA,NA
Astrorhiza arenaria,113840,Astrorhiza arenaria,NA,NA
Astrorhiza cf. granulosa,113842,Astrorhiza granulosa,NA,NA
Astrorhiza granulosa,113842,Astrorhiza granulosa,NA,NA
Bathysiphon cf. alba,113845,Bathysiphon alba,NA,NA
Bathysiphon discreta,113850,Bathysiphon discretus,NA,NA
Bathysiphon filiformis,113851,Bathysiphon filiformis,NA,NA
Bigenerina nodosaria,113862,Bigenerina nodosaria,NA,NA
Hippocrepina indivisa,113871,Hippocrepina indivisa,NA,NA
Jaculella cf. acuta,113879,Jaculella acuta,NA,NA
Marsipella cylindrica,113883,Marsipella cylindrica,NA,NA
Marsipella elongata,113885,Marsipella elongata,NA,NA
Rhabdammina abyssorum,113898,Rhabdammina abyssorum,NA,NA
Rhabdammina cf. abyssorum,113898,Rhabdammina abyssorum,NA,NA
Rhabdammina discreta,113900,Rhabdammina discreta,NA,NA
Rhabdammina linearis,113902,Rhabdammina linearis,NA,NA
Rhizammina algaeformis,113906,Rhizammina algaeformis,NA,NA
Martinottiella bradyana,113912,Martinottiella bradyana,NA,NA
Martinottiella communis,113913,Martinottiella communis,NA,NA
Ammoscalaria pseudospiralis,113918,Ammoscalaria pseudospiralis,NA,NA
Ammoscalaria runiana,113919,Ammoscalaria runiana,NA,NA
Proteonina difflugiformis,113925,Proteonina difflugiformis,NA,NA
Proteonina fusiformis,113926,Proteonina fusiformis,NA,NA
Eggerella bradyi,113930,Eggerella bradyi,NA,NA
Eggerelloides scaber,113938,Eggerelloides scaber,NA,NA
Karreriella bradyi,113941,Karreriella bradyi,NA,NA
Karreriella novangliae,113942,Karreriella novangliae,NA,NA
Haplophragmoides bradyi,113947,Haplophragmoides bradyi,NA,NA
Haplophragmoides cf. bradyi,113947,Haplophragmoides bradyi,NA,NA
Haplophragmoides canariensis,113948,Haplophragmoides canariensis,NA,NA
Haplophragmoides cf. wilberti,113955,Haplophragmoides wilberti,NA,NA
Labrospira wiesneri,113965,Labrospira wiesneri,NA,NA
Hyperammina cylindrica,113967,Hyperammina cylindrica,NA,NA
Hyperammina elongata,113968,Hyperammina elongata,NA,NA
Hyperammina friabilis,113970,Hyperammina friabilis,NA,NA
Hyperammina laevigata,113971,Hyperammina laevigata,NA,NA
Hyperammina subnodosa,113973,Hyperammina subnodosa,NA,NA
Saccorhiza ramosa,113974,Saccorhiza ramosa,NA,NA
Hormosina carpenteri,113977,Hormosina carpenteri,NA,NA
Hormosina globulifera,113979,Hormosina globulifera,NA,NA
Hormosina ovicula,113981,Hormosina ovicula,NA,NA
Reophax dentaliniformis,114000,Reophax dentaliniformis,NA,NA
Reophax difflugiformis,114001,Reophax difflugiformis,NA,NA
Reophax distans,114002,Reophax distans,NA,NA
Reophax fusiformis,114003,Reophax fusiformis,NA,NA
Reophax guttifer,114005,Reophax guttifer,NA,NA
Reophax nodulosus,114012,Reophax nodulosus,NA,NA
Reophax scorpiurus,114016,Reophax scorpiurus,NA,NA
Ammobaculites agglutinans,114024,Ammobaculites agglutinans,NA,NA
Ammobaculites filiformis,114026,Ammobaculites filiformis,NA,NA
Ammotium salsum,114031,Ammotium salsum,NA,NA
Cribrostomoides crassimargo,114034,Cribrostomoides crassimargo,NA,NA
Cribrostomoides kosterensis,114036,Cribrostomoides kosterensis,NA,NA
Cribrostomoides nitida,114037,Cribrostomoides nitidus,NA,NA
Cribrostomoides ringens,114038,Cribrostomoides ringens,NA,NA
Cyclammina cancellata,114045,Cyclammina cancellata,NA,NA
Cyclammina orbicularis,114046,Cyclammina orbicularis,NA,NA
Cyclammina pusilla,114047,Cyclammina pusilla,NA,NA
Cyclammina senegalensis,114048,Cyclammina senegalensis,NA,NA
Discammina compressa,114050,Discammina compressa,NA,NA
Recurvoides contortus,114055,Recurvoides contorta,NA,NA
Miliammina arenacea,114063,Miliammina arenacea,NA,NA
Miliammina fusca,114064,Miliammina fusca,NA,NA
Crithionina mamilla,114158,Crithionina mamilla,NA,NA
Crithionina pisum,114159,Crithionina pisum,NA,NA
Lagenammina difflugiformis,114165,Lagenammina difflugiformis,NA,NA
Liebusella goesi,114170,Liebusella goesi,NA,NA
Psammosphaera fusca,114184,Psammosphaera fusca,NA,NA
Psammosphaera parva,114185,Psammosphaera parva,NA,NA
Saccammina sphaerica,114191,Saccammina sphaerica,NA,NA
Thurammina papillata,114215,Thurammina papillata,NA,NA
Morulaeplecta bulbosa,114221,Morulaeplecta bulbosa,NA,NA
Spiroplectammina biformis,114226,Spiroplectammina biformis,NA,NA
Globotextularia anceps,114237,Globotextularia anceps,NA,NA
Sahulia conica,114253,Sahulia conica,NA,NA
Siphotextularia rolshauseni,114261,Siphotextularia rolshauseni,NA,NA
Textularia agglutinans,114264,Textularia agglutinans,NA,NA
Textularia bocki,114267,Textularia bocki,NA,NA
Textularia bulbosa,114268,Textularia bulbosa,NA,NA
Textularia conica,114272,Textularia conica,NA,NA
Textularia earlandi,114273,Textularia earlandi,NA,NA
Textularia gramen,114277,Textularia gramen,NA,NA
Textularia pseudogramen,114282,Textularia pseudogramen,NA,NA
Textularia sagittula,114285,Textularia sagittula,NA,NA
Textularia truncata,114290,Textularia truncata,NA,NA
Vulvulina pennatula,114294,Vulvulina pennatula,NA,NA
Deuterammina grahami,114301,Deuterammina grahami,NA,NA
Lepidodeuterammina ochracea,114306,Lepidodeuterammina ochracea,NA,NA
Tritaxis conica,114333,Tritaxis conica,NA,NA
Tritaxis fusca,114334,Tritaxis fusca,NA,NA
Trochammina advena,114337,Trochammina advena,NA,NA
Trochammina astrifica,114338,Trochammina astrifica,NA,NA
Trochammina globigeriniformis,114344,Trochammina globigeriniformis,NA,NA
Trochammina cf. inflata,114348,Trochammina inflata,NA,NA
Trochammina inflata,114348,Trochammina inflata,NA,NA
Trochammina intermedia,114349,Trochammina intermedia,NA,NA
Trochammina nitida,114355,Trochammina nitida,NA,NA
Trochammina pusilla,114357,Trochammina pusilla,NA,NA
Trochammina rotaliformis,114358,Trochammina rotaliformis,NA,NA
Trochammina squamata,114360,Trochammina squamata,NA,NA
Connemarella rudis,114364,Connemarella rudis,NA,NA
Dorothia pseudoturris,114366,Dorothia pseudoturris,NA,NA
Verneuilina media,114373,Verneuilina media,NA,NA
Emiliania huxleyi,115104,Emiliania huxleyi,NA,NA
Tisbe spp.,115484,Tisbe,NA,NA
Microsetella norvegica,116115,Microsetella norvegica,NA,NA
Aeginopsis laurentii,117265,Aeginopsis laurentii,NA,NA
Sarsia princeps,117487,Sarsia princeps,NA,NA
Homoeonema platygonon,117623,Homoeonema platygonon,NA,NA
Mitrocomella polydiademata,117755,Mitrocomella polydiademata,NA,NA
Catablema vesicarium,117784,Catablema vesicarium,NA,NA
Rathkea octopunctata,117848,Rathkea octopunctata,NA,NA
Aglantha digitale,117849,Aglantha digitale,NA,NA
Echinoidea,123082,Echinoidea,NA,NA
"Echinoidea, spines",123082,Echinoidea,NA,NA
Cytheridae,127494,Cytheridae,NA,NA
Aglaiocypris sp.,127573,Aglaiocypris,NA,NA
Paracypris sp.,127574,Paracypris,NA,NA
Bythocythere sp.,127577,Bythocythere,NA,NA
Pontocythere sp.,127585,Pontocythere,NA,NA
Microcytherura sp.,127614,Microcytherura,NA,NA
Eucythere sp.,127619,Eucythere,NA,NA
Hemicythere sp.,127625,Hemicythere,NA,NA
Urocythereis sp.,127631,Urocythereis,NA,NA
Krithe sp.,127632,Krithe,NA,NA
Palmoconcha sp.,127647,Palmoconcha,NA,NA
Basslerites (Loculiconcha),127665,Basslerites,NA,NA
Xestoleberis sp.,127681,Xestoleberis,NA,NA
Pontocypris sp.,127688,Pontocypris,NA,NA
Propontocypris sp.,127689,Propontocypris,NA,NA
Xestoleberis humilis,128406,Xestoleberis humilis,NA,NA
Xestoleberis cf. ventricosa,128417,Xestoleberis ventricosa,NA,NA
Diphyes sp.,135362,Diphyes,NA,NA
"Dimophyes arctica, juvenile",135418,Dimophyes arctica,NA,NA
Clio sp.,137751,Clio,NA,NA
Styliola sp.,137757,Styliola,NA,NA
Cavolinia inflexa,139029,Cavolinia inflexa,NA,NA
Clio pyramidata,139033,Clio pyramidata,NA,NA
Creseis virgula,139035,Creseis virgula,NA,NA
Diacria trispinosa,139045,Diacria trispinosa,NA,NA
Styliola subula,139048,Styliola subula,NA,NA
Clione limacina,139178,Clione limacina,NA,NA
Limacina bulimoides,140222,Limacina bulimoides,NA,NA
Limacina helicina,140223,Limacina helicina,NA,NA
Limacina inflata,140225,Limacina inflata,NA,NA
Limacina trochiformis,140228,Limacina trochiformis,NA,NA
Halimeda,143820,Halimeda,NA,NA
Fursenkoina schreibersiana,146263,Fursenkoina schreibersiana,NA,NA
Coscinodiscus sp.,148917,Coscinodiscus,NA,NA
Actinoptychus senarius,148948,Actinoptychus senarius,NA,NA
Actinoptychus splendens,148949,Actinoptychus splendens,NA,NA
Chaetoceros sp.,148985,Chaetoceros,NA,NA
Chaetoceros spp.,148985,Chaetoceros,NA,NA
Cylindrotheca closterium,149004,Cylindrotheca closterium,NA,NA
Ditylum brightwellii,149023,Ditylum brightwellii,NA,NA
Nitzschia spp.,149045,Nitzschia,NA,NA
Skeletonema costatum,149074,Skeletonema costatum,NA,NA
Thalassionema nitzschioides,149093,Thalassionema nitzschioides,NA,NA
Thalassiosira subtilis,149101,Thalassiosira subtilis,NA,NA
Guinardia delicatula,149112,Guinardia delicatula,NA,NA
Guinardia striata,149113,Guinardia striata,NA,NA
Bacteriastrum hyalinum,149119,Bacteriastrum hyalinum,NA,NA
Chaetoceros didymus,149122,Chaetoceros didymus,NA,NA
Chaetoceros decipiens,149126,Chaetoceros decipiens,NA,NA
Chaetoceros compressus,149129,Chaetoceros compressus,NA,NA
Guinardia flaccida,149132,Guinardia flaccida,NA,NA
Amphiprora sp.,149140,Amphiprora,NA,NA
Navicula sp.,149142,Navicula,NA,NA
Triceratium sp.,149154,Triceratium,NA,NA
Coscinodiscus radiatus,149158,Coscinodiscus radiatus,NA,NA
Actinocyclus octonarius,149164,Actinocyclus octonarius,NA,NA
Proboscia alata,149168,Proboscia alata,NA,NA
Pleurosigma sp.,149181,Pleurosigma,NA,NA
Amphora sp.,149200,Amphora,NA,NA
Chaetoceros curvisetus,149221,Chaetoceros curvisetus,NA,NA
Leptocylindrus mediterraneus,149230,Leptocylindrus mediterraneus,NA,NA
Chaetoceros affinis,149241,Chaetoceros affinis,NA,NA
Coscinodiscus granii,149271,Coscinodiscus granii,NA,NA
Coscinodiscus perforatus,149272,Coscinodiscus perforatus,NA,NA
Detonula confervacea,149286,Detonula confervacea,NA,NA
Chaetoceros atlanticus,149288,Chaetoceros atlanticus,NA,NA
Chaetoceros anastomosans,149292,Chaetoceros anastomosans,NA,NA
Rhizosolenia robusta,149311,Rhizosolenia robusta,NA,NA
Lithodesmium undulatum,149322,Lithodesmium undulatum,NA,NA
Grammatophora angulosa,149336,Grammatophora angulosa,NA,NA
Grammatophora marina,149338,Grammatophora marina,NA,NA
Cerataulina pelagica,149619,Cerataulina pelagica,NA,NA
Rhizosolenia styliformis,149629,Rhizosolenia styliformis,NA,NA
Azpeitia spp.,149650,Azpeitia,NA,NA
"Azpeitia spp., flux",149650,Azpeitia,NA,NA
Oncaea borealis,149765,Oncaea borealis,NA,NA
Arachnactis bournei,151563,Arachnactis bournei,NA,NA
Nemertea,152391,Nemertea,NA,NA
Myodocopa,155943,Myodocopa,NA,NA
Achnanthes longipes,156533,Achnanthes longipes,NA,NA
Chaetoceros constrictus,156609,Chaetoceros constrictus,NA,NA
Chaetoceros lorenzianus,156617,Chaetoceros lorenzianus,NA,NA
Thalassiothrix longissima,157083,Thalassiothrix longissima,NA,NA
Cavolinia longirostris,160155,Cavolinia longirostris,NA,NA
Chaetoceros lauderi,160523,Chaetoceros lauderi,NA,NA
Pseudo-nitzschia pungens,160528,Pseudo-nitzschia pungens,NA,NA
Pediastrum,160561,Pediastrum,NA,NA
"Pediastrum spp., coenobia",160561,Pediastrum,NA,NA
Asteromphalus heptactis,162258,Asteromphalus heptactis,NA,NA
Asteromphalus arachne,162262,Asteromphalus arachne,NA,NA
Rotaliida,163158,Rotaliida,NA,NA
Hemiaulus sinensis,163250,Hemiaulus sinensis,NA,NA
Massilina secans,163641,Massilina secans,NA,NA
Triloculina trihedra,163643,Triloculina trihedra,NA,NA
Protoperidinium claudicans,163862,Protoperidinium claudicans,NA,NA
Pyrocystis lunula,164053,Pyrocystis lunula,NA,NA
Bacteriastrum delicatulum,164108,Bacteriastrum delicatulum,NA,NA
Falklandia,177020,Falklandia,NA,NA
Chaetoceros coarctatus,178180,Chaetoceros coarctatus,NA,NA
Chaetoceros peruvianus,178185,Chaetoceros peruvianus,NA,NA
Chaetoceros rostratus,178201,Chaetoceros rostratus,NA,NA
Chaetoceros tetrastichon,178241,Chaetoceros tetrastichon,NA,NA
Bolivina earlandi,183019,Bolivina earlandi,NA,NA
Bulimina rostrata,183033,Bulimina rostrata,NA,NA
Cassidulina carinata,183041,Cassidulina carinata,NA,NA
Cibicidoides bradyi,183063,Cibicidoides bradyi,NA,NA
Cystammina pauciloculata,183109,Cystammina pauciloculata,NA,NA
Lenticulina iota,183234,Lenticulina iota,NA,NA
Pyrulina extensa,183381,Pyrulina extensa,NA,NA
Reophax agglutinatus,183387,Reophax agglutinatus,NA,NA
