Name,aphia,scientificname,proposedaphia,comment
Sphaeroidina sp.,112127,Sphaeroidina,NA,NA
Sphaeroidina spp.,112127,Sphaeroidina,NA,NA
Ceratobulimina spp.,112129,Ceratobulimina,NA,NA
Pullenia sp.,112132,Pullenia,NA,NA
Pullenia spp.,112132,Pullenia,NA,NA
Cibicidoides sp.,112134,Fontbotia,NA,NA
"Cibicidoides sp., δ13C",112134,Fontbotia,NA,NA
"Cibicidoides sp., δ18O",112134,Fontbotia,NA,NA
Cibicidoides spp.,112134,Fontbotia,NA,NA
"Cibicidoides spp., δ13C",112134,Fontbotia,NA,NA
"Cibicidoides spp., δ18O",112134,Fontbotia,NA,NA
Buccella sp.,112139,Buccella,NA,NA
Buccella spp.,112139,Buccella,NA,NA
Discorbinella sp.,112143,Discorbinella,NA,NA
Discorbis sp.,112144,Discorbis,NA,NA
Discorbis spp.,112144,Discorbis,NA,NA
Gavelinopsis sp.,112145,Gavelinopsis,NA,NA
Laticarinina sp.,112146,Laticarinina,NA,NA
Rosalina sp.,112148,Rosalina,NA,NA
Rosalina spp.,112148,Rosalina,NA,NA
Entosolenia spp.,112152,Entosolenia,NA,NA
Oolina sp.,112152,Entosolenia,NA,NA
Oolina spp.,112152,Entosolenia,NA,NA
Parafissurina sp.,112158,Parafissurina,NA,NA
Elphidium sp.,112162,Elphidium,NA,NA
Elphidium spp.,112162,Elphidium,NA,NA
Epistominella sp.,112168,Epistominella,NA,NA
Epistominella spp.,112168,Epistominella,NA,NA
Eponides sp.,112174,Eponides,NA,NA
Eponides spp.,112174,Eponides,NA,NA
Oridorsalis sp.,112178,Oridorsalis,NA,NA
Ammonia sp.,112181,Pseudoeponides,NA,NA
Ammonia spp.,112181,Pseudoeponides,NA,NA
Sigmavirgulina sp.,112183,Sigmavirgulina,NA,NA
Fursenkoina sp.,112184,Virgulina,NA,NA
Fursenkoina spp.,112184,Virgulina,NA,NA
Anomalinoides sp.,112187,Anomalinoides,NA,NA
Anomalinoides spp.,112187,Anomalinoides,NA,NA
Gyroidinoides sp.,112189,Gyroidinoides,NA,NA
Gyroidinoides spp.,112189,Gyroidinoides,NA,NA
Glabratella sp.,112193,Glabratella,NA,NA
Glandulina sp.,112194,Glandulina,NA,NA
Glandulina spp.,112194,Glandulina,NA,NA
Glandulina ssp.,112194,Glandulina,NA,NA
Beella sp.,112196,Beella,NA,NA
Globigerina sp.,112197,Globigerina,NA,NA
"Globigerina sp., δ13C",112197,Globigerina,NA,NA
"Globigerina sp., δ18O",112197,Globigerina,NA,NA
Globigerina spp.,112197,Globigerina,NA,NA
"Globigerina, juvenile",112197,Globigerina,NA,NA
Globigerinella sp.,112198,Globigerinella,NA,NA
Globigerinella spp.,112198,Globigerinella,NA,NA
Globigerinoides sp.,112199,Globigerinoides,NA,NA
Globigerinoides spp.,112199,Globigerinoides,NA,NA
Globorotalia sp.,112200,Globorotalia,NA,NA
Globorotalia spp.,112200,Globorotalia,NA,NA
Globoturborotalita sp.,112201,Globoturborotalita,NA,NA
Globoturborotalita spp.,112201,Globoturborotalita,NA,NA
Neogloboquadrina sp.,112202,Neogloboquadrina,NA,NA
Neogloboquadrina spp.,112202,Neogloboquadrina,NA,NA
